Nx,Ny,Nz,Sx,Sy,Sz,Roll,Pitch,Yaw,SunFluxX,SunFluxY,SunFluxZ,Octant
-0,-0,-0,60,42.25272747,39.27730924,13.4,0,0,15,8,12,000
-0,-0,-0,60,42.32121492,39.20350454,13.5,0,0,15,8,12,000
-0,-0,-0,60,42.38957345,39.12958041,13.6,0,0,15,8,12,000
-0,-0,-0,60,42.45780285,39.05553709,13.7,0,0,15,8,12,000
-0,-0,-0,60,42.52590292,38.98137479,13.8,0,0,15,8,12,000
-0,-0,-0,60,42.59387345,38.90709376,13.9,0,0,15,8,12,000
-0,-0,-0,60,42.66171423,38.8326942,14,0,0,15,8,12,000
-0,-0,-0,60,42.72942505,38.75817636,14.1,0,0,15,8,12,000
-0,-0,-0,60,42.79700572,38.68354045,14.2,0,0,15,8,12,000
-0,-0,-0,60,42.86445602,38.6087867,14.3,0,0,15,8,12,000
-0,-0,-0,60,42.93177574,38.53391534,14.4,0,0,15,8,12,000
-0,-0,-0,60,42.99896469,38.45892661,14.5,0,0,15,8,12,000
-0,-0,-0,60,43.06602265,38.38382072,14.6,0,0,15,8,12,000
-0,-0,-0,60,43.13294943,38.30859791,14.7,0,0,15,8,12,000
-0,-0,-0,60,43.19974482,38.2332584,14.8,0,0,15,8,12,000
-0,-0,-0,60,43.26640861,38.15780243,14.9,0,0,15,8,12,000
-0,-0,-0,60,43.33294061,38.08223022,15,0,0,15,8,12,000
-0,-0,-0,60,43.3993406,38.00654201,15.1,0,0,15,8,12,000
-0,-0,-0,60,43.4656084,37.93073802,15.2,0,0,15,8,12,000
-0,-0,-0,60,43.53174379,37.85481849,15.3,0,0,15,8,12,000
-0,-0,-0,60,43.59774657,37.77878364,15.4,0,0,15,8,12,000
-0,-0,-0,60,43.66361655,37.70263372,15.5,0,0,15,8,12,000
-0,-0,-0,60,43.72935353,37.62636895,15.6,0,0,15,8,12,000
-0,-0,-0,60,43.79495729,37.54998956,15.7,0,0,15,8,12,000
-0,-0,-0,60,43.86042765,37.47349578,15.8,0,0,15,8,12,000
-0,-0,-0,60,43.9257644,37.39688786,15.9,0,0,15,8,12,000
-0,-0,-0,60,43.99096735,37.32016602,16,0,0,15,8,12,000
-0,-0,-0,60,44.05603629,37.24333049,16.1,0,0,15,8,12,000
-0,-0,-0,60,44.12097103,37.16638152,16.2,0,0,15,8,12,000
-0,-0,-0,60,44.18577137,37.08931933,16.3,0,0,15,8,12,000
-0,-0,-0,60,44.25043711,37.01214416,16.4,0,0,15,8,12,000
-0,-0,-0,60,44.31496806,36.93485624,16.5,0,0,15,8,12,000
-0,-0,-0,60,44.37936402,36.85745582,16.6,0,0,15,8,12,000
-0,-0,-0,60,44.44362479,36.77994312,16.7,0,0,15,8,12,000
-0,-0,-0,60,44.50775017,36.70231838,16.8,0,0,15,8,12,000
-0,-0,-0,60,44.57173998,36.62458184,16.9,0,0,15,8,12,000
-0,-0,-0,60,44.63559402,36.54673374,17,0,0,15,8,12,000
-0,-0,-0,60,44.69931208,36.4687743,17.1,0,0,15,8,12,000
-0,-0,-0,60,44.76289399,36.39070378,17.2,0,0,15,8,12,000
-0,-0,-0,60,44.82633954,36.31252241,17.3,0,0,15,8,12,000
-0,-0,-0,60,44.88964854,36.23423042,17.4,0,0,15,8,12,000
-0,-0,-0,60,44.9528208,36.15582805,17.5,0,0,15,8,12,000
-0,-0,-0,60,45.01585613,36.07731555,17.6,0,0,15,8,12,000
-0,-0,-0,60,45.07875432,35.99869315,17.7,0,0,15,8,12,000
-0,-0,-0,60,45.14151521,35.91996109,17.8,0,0,15,8,12,000
-0,-0,-0,60,45.20413858,35.84111962,17.9,0,0,15,8,12,000
-0,-0,-0,60,45.26662425,35.76216896,18,0,0,15,8,12,000
-0,-0,-0,60,45.32897203,35.68310937,18.1,0,0,15,8,12,000
-0,-0,-0,60,45.39118174,35.60394108,18.2,0,0,15,8,12,000
-0,-0,-0,60,45.45325317,35.52466434,18.3,0,0,15,8,12,000
-0,-0,-0,60,45.51518615,35.44527938,18.4,0,0,15,8,12,000
-0,-0,-0,60,45.57698047,35.36578644,18.5,0,0,15,8,12,000
-0,-0,-0,60,45.63863597,35.28618578,18.6,0,0,15,8,12,000
-0,-0,-0,60,45.70015244,35.20647763,18.7,0,0,15,8,12,000
-0,-0,-0,60,45.76152969,35.12666224,18.8,0,0,15,8,12,000
-0,-0,-0,60,45.82276756,35.04673984,18.9,0,0,15,8,12,000
-0,-0,-0,60,45.88386583,34.96671069,19,0,0,15,8,12,000
-0,-0,-0,60,45.94482434,34.88657502,19.1,0,0,15,8,12,000
-0,-0,-0,60,46.00564289,34.80633308,19.2,0,0,15,8,12,000
-0,-0,-0,60,46.0663213,34.72598511,19.3,0,0,15,8,12,000
-0,-0,-0,60,46.12685938,34.64553136,19.4,0,0,15,8,12,000
-0,-0,-0,60,46.18725696,34.56497208,19.5,0,0,15,8,12,000
-0,-0,-0,60,46.24751384,34.4843075,19.6,0,0,15,8,12,000
-0,-0,-0,60,46.30762984,34.40353788,19.7,0,0,15,8,12,000
-0,-0,-0,60,46.36760478,34.32266346,19.8,0,0,15,8,12,000
-0,-0,-0,60,46.42743847,34.24168449,19.9,0,0,15,8,12,000
-0,-0,-0,60,46.48713074,34.16060121,20,0,0,15,8,12,000
-0,-0,-0,60,46.54668141,34.07941387,20.1,0,0,15,8,12,000
-0,-0,-0,60,46.60609028,33.99812272,20.2,0,0,15,8,12,000
-0,-0,-0,60,46.66535718,33.91672801,20.3,0,0,15,8,12,000
-0,-0,-0,60,46.72448194,33.83522998,20.4,0,0,15,8,12,000
-0,-0,-0,60,46.78346436,33.75362888,20.5,0,0,15,8,12,000
-0,-0,-0,60,46.84230427,33.67192497,20.6,0,0,15,8,12,000
-0,-0,-0,60,46.90100149,33.59011848,20.7,0,0,15,8,12,000
-0,-0,-0,60,46.95955584,33.50820967,20.8,0,0,15,8,12,000
-0,-0,-0,60,47.01796715,33.42619879,20.9,0,0,15,8,12,000
-0,-0,-0,60,47.07623523,33.34408609,21,0,0,15,8,12,000
-0,-0,-0,60,47.1343599,33.26187181,21.1,0,0,15,8,12,000
-0,-0,-0,60,47.192341,33.17955622,21.2,0,0,15,8,12,000
-0,-0,-0,60,47.25017835,33.09713955,21.3,0,0,15,8,12,000
-0,-0,-0,60,47.30787176,33.01462206,21.4,0,0,15,8,12,000
-0,-0,-0,60,47.36542106,32.93200401,21.5,0,0,15,8,12,000
-0,-0,-0,60,47.42282608,32.84928564,21.6,0,0,15,8,12,000
-0,-0,-0,60,47.48008664,32.7664672,21.7,0,0,15,8,12,000
-0,-0,-0,60,47.53720257,32.68354895,21.8,0,0,15,8,12,000
-0,-0,-0,60,47.59417369,32.60053114,21.9,0,0,15,8,12,000
-0,-0,-0,60,47.65099983,32.51741403,22,0,0,15,8,12,000
-0,-0,-0,60,47.70768082,32.43419786,22.1,0,0,15,8,12,000
-0,-0,-0,60,47.76421648,32.35088289,22.2,0,0,15,8,12,000
-0,-0,-0,60,47.82060665,32.26746938,22.3,0,0,15,8,12,000
-0,-0,-0,60,47.87685114,32.18395757,22.4,0,0,15,8,12,000
-0,-0,-0,60,47.93294979,32.10034772,22.5,0,0,15,8,12,000
-0,-0,-0,60,47.98890244,32.0166401,22.6,0,0,15,8,12,000
-0,-0,-0,60,48.04470889,31.93283494,22.7,0,0,15,8,12,000
-0,-0,-0,60,48.100369,31.84893251,22.8,0,0,15,8,12,000
-0,-0,-0,60,48.15588258,31.76493306,22.9,0,0,15,8,12,000
-0,-0,-0,60,48.21124948,31.68083685,23,0,0,15,8,12,000
-0,-0,-0,60,48.26646951,31.59664414,23.1,0,0,15,8,12,000
-0,-0,-0,60,48.32154252,31.51235518,23.2,0,0,15,8,12,000
-0,-0,-0,60,48.37646833,31.42797022,23.3,0,0,15,8,12,000
-0,-0,-0,60,48.43124677,31.34348953,23.4,0,0,15,8,12,000
-0,-0,-0,60,48.48587769,31.25891336,23.5,0,0,15,8,12,000
-0,-0,-0,60,48.54036091,31.17424198,23.6,0,0,15,8,12,000
-0,-0,-0,60,48.59469627,31.08947563,23.7,0,0,15,8,12,000
-0,-0,-0,60,48.6488836,31.00461457,23.8,0,0,15,8,12,000
-0,-0,-0,60,48.70292273,30.91965907,23.9,0,0,15,8,12,000
-0,-0,-0,60,48.75681351,30.83460939,24,0,0,15,8,12,000
-0,-0,-0,60,48.81055577,30.74946577,24.1,0,0,15,8,12,000
-0,-0,-0,60,48.86414934,30.66422849,24.2,0,0,15,8,12,000
-0,-0,-0,60,48.91759407,30.5788978,24.3,0,0,15,8,12,000
-0,-0,-0,60,48.97088978,30.49347396,24.4,0,0,15,8,12,000
-0,-0,-0,60,49.02403632,30.40795724,24.5,0,0,15,8,12,000
-0,-0,-0,60,49.07703352,30.32234788,24.6,0,0,15,8,12,000
-0,-0,-0,60,49.12988122,30.23664616,24.7,0,0,15,8,12,000
-0,-0,-0,60,49.18257927,30.15085233,24.8,0,0,15,8,12,000
-0,-0,-0,60,49.2351275,30.06496666,24.9,0,0,15,8,12,000
-0,-0,-0,60,49.28752575,29.9789894,25,0,0,15,8,12,000
-0,-0,-0,60,49.33977386,29.89292082,25.1,0,0,15,8,12,000
